file_name,title,method
0322.md,The Role of the Amino Protecting Group during Parahydrogenation of Protected Dehydroamino Acids,1H-PHIP
0026.md,Continuous ${}^{1}\mathbf{H}$ and ${}^{13}\mathbf{C}$ Signal Enhancement in NMR Spectroscopy and MRI Using Parahydrogen and Hollow-Fiber Membranes,1H-PHIP
0541.md,Low-valent homobimetallic Rh complexes: influence of ligands on the structure and the intramolecular reactivity of Rh-H intermediates†,1H-PHIP
0346.md,Extending the Lifetime of Hyperpolarized Propane Gas through Reversible Dissolution,1H-PHIP
0007.md,In situ Transfer of Parahydrogen-Induced Nuclear Spin Polarization-Structural Characterization of Hydrogenation Intermediates,1H-PHIP
0458.md,PASADENA NMR,1H-PHIP
0011.md,Formation of Ruthenium Carbenes by gem-Hydrogen Transfer to Internal Alkynes: Implications for Alkyne trans-Hydrogenation,1H-PHIP
0588.md,Generating long-lasting ${}^{1}\mathrm{H}$ and ${}^{13}\mathrm{C}$ hyperpolarization in small molecules with parahydrogen-induced polarization,1H-PHIP
0299.md,High-Pressure Clinical-Scale 87% Parahydrogen Generator,1H-PHIP
0585.md,The toroid cavity autoclave for high-pressure and variable-temperature in situ nuclear magnetic resonance studies,1H-PHIP
0475.md,Mechanism of nuclear spin initiated para- H₂ to ortho- H₂ conversion,1H-PHIP
0385.md,Ultra-Low-Cost Disposable Hand-Held Clinical-Scale Propane Gas Hyperpolarizer for Pulmonary Magnetic Resonance Imaging Sensing,1H-PHIP
0058.md,"Semihydrogenation of Propyne over Cerium Oxide Nanorods, Nanocubes, and Nano-Octahedra: Facet-Dependent Parahydrogen-Induced Polarization",1H-PHIP
0490.md,parahydrogen-induced polarization in propargylglycine-containing synthetic oligopeptides,1H-PHIP
0305.md,Through-Space Multinuclear Magnetic Resonance Signal Enhancement Induced by Parahydrogen and Radiofrequency Amplification by Stimulated Emission of Radiation,1H-PHIP
0121.md,Discrimination of PHIP Signals Through their Evolution in Multipulse Sequences,1H-PHIP
0040.md,Singlet-Contrast Magnetic Resonance Imaging: Unlocking Hyperpolarization with Metabolism,1H-PHIP
