filename,title,tags
10.1002_adsc.200404058_cleaned.txt,Hydrogen Induced Polarization--Nuclear-Spin Hyperpolarization in Catalytic Hydrogenations without the Enrichment of Para- or Orthohydrogen,"['NMR hyperpolarization', 'catalytic hydrogenations', 'parahydrogen induced polarization', 'quantum mechanics', 'spin polarization', 'homogeneous catalysis', 'NMR spectroscopy']"
10.1002_advs.202207112_cleaned.txt,Reversible Parahydrogen Induced Hyperpolarization of 15N in Unmodified Amino Acids Unraveled at High Magnetic Field,"['parahydrogen', 'hyperpolarization', '15N NMR', 'amino acids', 'SABRE', 'iridium catalyst', 'high-field NMR']"
10.1002_ange.201506045_cleaned.txt,Shaped Ceria Nanocrystals Catalyze Efficient and Selective Para-Hydrogen-Enhanced Polarization,"['ceria nanocrystals', 'para-hydrogen-enhanced NMR', 'hydrogenation catalysis', 'nanocrystal facets', 'oxygen vacancies', 'pairwise selectivity', 'ALTADENA PHIP']"
10.1002_ange.201506075_cleaned.txt,Formation of Ruthenium Carbenes by gem-Hydrogen Transfer to Internal Alkynes,"['ruthenium carbenes', 'gem-hydrogen transfer', 'internal alkynes', 'trans-hydrogenation', 'PHIP NMR spectroscopy', 'DFT study', 'metallacyclopropene intermediate']"
10.1002_ange.201507831_cleaned.txt,2D NMR Trace Analysis by Continuous Hyperpolarization at High Magnetic Field,"['Nuclear Magnetic Resonance', 'Hyperpolarization', 'SABRE', 'Trace Analysis', '2D NMR', 'High Magnetic Field', 'Complex Mixtures']"
10.1002_ange.201609186_cleaned.txt,A Hyperpolarizable ${ f \Pi } ^ { \mathbf { 1 } } { f { { H } } }$ Magnetic Resonance Probe for Signal Detection 15 Minutes after Spin Polarization Storage,"['Nuclear magnetic resonance', 'Magnetic resonance imaging', 'Signal amplification by reversible exchange', 'Hyperpolarization', 'Long-lived singlet states', 'Pyridazine derivatives', 'Clinical MRI']"
10.1002_ange.201701314_cleaned.txt,Silica-Encapsulated Pt-Sn Intermetallic Nanoparticles,"['Pt-Sn intermetallic nanoparticles', 'parahydrogen-induced polarization', 'heterogeneous catalysis', 'mesoporous silica', 'magnetic resonance imaging', 'hydrogenation', 'NMR spectroscopy']"
10.1002_ange.201703577_cleaned.txt,DOSY Analysis of Micromolar Analytes,"['DOSY', 'NMR spectroscopy', 'SABRE hyperpolarization', 'micromolar mixtures', 'diffusion coefficients', 'analytical chemistry', 'nuclear spin hyperpolarization']"
10.1002_ange.201705014_cleaned.txt,Heterogeneous Microtesla SABRE Enhancement of $\mathbf { ^ { 1 5 } N }$ NMR Signals,"['SABRE', 'heterogeneous catalysis', 'NMR signal enhancement', 'hyperpolarization', 'heteronuclear spins', 'biomedical NMR', 'MRI applications']"
10.1002_ange.201710406_cleaned.txt,Signal Amplification by Reversible Exchange (SABRE),"['SABRE', 'hyperpolarization', 'NMR', 'MRI', 'parahydrogen', 'clinical applications', 'catalysis']"
10.1002_ange.201711842_cleaned.txt,Parahydrogen-Based Hyperpolarization for Biomedicine,"['hyperpolarization', 'parahydrogen', 'biomedicine', 'magnetic resonance', 'contrast agents', 'SABRE', 'PHIP']"
10.1002_ange.201804185_cleaned.txt,More Than $12 \%$ Polarization and 20 Minute Lifetime of $\mathbf { ^ { 1 5 } N }$ in a Choline Derivative Utilizing Parahydrogen and a Rhodium Nanocatalyst in Water,"['hyperpolarization', 'MRI', 'parahydrogen', 'rhodium nanocatalyst', 'choline derivative', 'spin-lattice relaxation', 'PHIP']"
10.1002_ange.201904255_cleaned.txt,Alkyne gem-Hydrogenation,"['gem-hydrogenation', 'ruthenium carbene complexes', 'PHIP NMR spectroscopy', 'DFT analysis', 'chemical shift tensors', 'Grubbs-type catalysts', 'Fischer carbenes']"
10.1002_ange.201905483_cleaned.txt,Hyperpolarising Pyruvate through Signal Amplification by Reversible Exchange (SABRE),"['SABRE', 'pyruvate', 'hyperpolarisation', 'magnetic resonance', 'parahydrogen', 'singlet state', 'NMR spectroscopy']"
10.1002_ange.201910506_cleaned.txt,Direct ${ }^{13}C$ Hyperpolarization of ${ }^{13}C$-Acetate by MicroTesla NMR Signal Amplification by Reversible Exchange (SABRE),"['SABRE', 'hyperpolarization', 'NMR', 'acetate', 'parahydrogen', 'SABRE-SHEATH', 'heteronuclear polarization']"
10.1002_anie.200700830_cleaned.txt,Para-Hydrogen-Enhanced Hyperpolarized Gas-Phase Magnetic Resonance Imaging,"['para-hydrogen', 'hyperpolarization', 'gas-phase MRI', 'heterogeneous catalysis', 'ALTADENA effect', 'NMR spectroscopy', 'spin polarization']"
10.1002_anie.200704881_cleaned.txt,Observation of Parahydrogen-Induced Polarization in Heterogeneous Hydrogenation on Supported Metal Catalysts,"['heterogeneous catalysis', 'hydrogenation', 'NMR spectroscopy', 'parahydrogen-induced polarization', 'supported catalysts', 'Pt/Al2O3', 'Pd/Al2O3']"
10.1002_anie.201002685_cleaned.txt,Microfluidic Gas-Flow Imaging Utilizing Parahydrogen-Induced Polarization and Remote-Detection NMR,"['microfluidics', 'gas-flow imaging', 'parahydrogen-induced polarization', 'remote-detection NMR', 'hyperpolarization', 'MRI', 'time-of-flight imaging']"
10.1002_anie.201002725_cleaned.txt,Continuous ${ f \delta I _ { H } }$ and $^ { 1 3 } \mathrm { C }$ Signal Enhancement in NMR Spectroscopy and MRI Using Parahydrogen and Hollow Fiber Membranes,"['NMR spectroscopy', 'MRI', 'parahydrogen', 'hyperpolarization', 'hollow fiber membranes', 'signal enhancement', 'polarization transfer']"
10.1002_anie.201101359_cleaned.txt,Use of Labile Precursors for the Generation of Hyperpolarized Molecules from Hydrogenation with Parahydrogen and Aqueous-Phase Extraction,"['hyperpolarization', 'NMR spectroscopy', 'parahydrogen', 'phase extraction', 'hydrogenation', 'succinic anhydride', 'MRI applications']"
10.1002_anie.201202967_cleaned.txt,Characterization of Microfluidic Gas Reactors Using RemoteDetection MRI and Parahydrogen-Induced Polarization,"['microfluidic reactors', 'remote-detection NMR', 'parahydrogen-induced polarization', 'heterogeneous catalysis', 'NMR imaging', 'sensitivity enhancement', 'mass transport']"
10.1002_anie.201204403_cleaned.txt,Peptide Hydrogenation and Labeling with Parahydrogen,"['hydrogenation', 'hyperpolarization', 'NMR spectroscopy', 'parahydrogen', 'peptides', 'PHIP', 'thiostrepton']"
10.1002_anie.201310284_cleaned.txt,Long-Lived ${ f \Pi } ^ { \mathbf { 1 } } { f { H } }$ Nuclear Spin Singlet in Dimethyl Maleate Revealed by Addition of Thiols,"['Nuclear magnetic resonance', 'Hyperpolarization', 'Singlet states', 'Thiol conjugate addition', 'Dimethyl maleate', 'NMR spectroscopy', 'Magnetic resonance imaging']"
10.1002_anie.201403135_cleaned.txt,Heterogeneous Solution NMR Signal Amplification by Reversible Exchange,"['heterogeneous catalysis', 'NMR spectroscopy', 'iridium catalyst', 'parahydrogen', 'hyperpolarization', 'SABRE', 'polymer microbeads']"
10.1002_anie.201404668_cleaned.txt,Effective PHIP Labeling of Bioactive Peptides Boosts the Intensity of the NMR Signal,"['PHIP labeling', 'NMR spectroscopy', 'bioactive peptides', 'signal enhancement', 'hyperpolarization', 'SFTI-1', 'rhodium catalyst']"
10.1002_anie.201409027_cleaned.txt,A Nanoparticle Catalyst for Heterogeneous Phase Para-Hydrogen Induced Polarization in Water,"['nanoparticles', 'heterogeneous catalysis', 'hyperpolarization', 'NMR spectroscopy', 'para-hydrogen', 'biomedical imaging', 'platinum nanoparticles']"
10.1002_anie.201409795_cleaned.txt,Quantitative Trace Analysis of Complex Mixtures Using SABRE Hyperpolarization,"['SABRE', 'NMR spectroscopy', 'hyperpolarization', 'trace analysis', 'quantitative analysis', 'complex mixtures', 'standard-addition method']"
10.1002_anie.201711842._cleaned.txt,An inexpensive apparatus for up to 97% continuous-flow parahydrogen enrichment using liquid helium,"['parahydrogen', 'hyperpolarization', 'NMR spectroscopy', 'liquid helium', 'continuous-flow converter', 'ortho–para conversion', 'iron oxide catalyst']"
10.1002_anie.201916597._cleaned.txt,Parahydrogen-Induced Radio Amplification by Stimulated Emission of Radiation,"['RASER', 'NMR spectroscopy', 'parahydrogen-induced polarization', 'hyperpolarization', 'ALTADENA', 'PASADENA', 'radiation damping']"
10.1002_anie.202006266._cleaned.txt,Chemical Reaction Monitoring using Zero-Field Nuclear Magnetic Resonance Enables Study of Heterogeneous Samples in Metal Containers,"['zero-field NMR', 'nuclear magnetic resonance', 'chemical reaction monitoring', 'heterogeneous samples', 'metal containers', 'parahydrogen-induced polarization', 'J-couplings']"
10.1002_anie.202011698._cleaned.txt,15N NMR Hyperpolarization of Radiosensitizing Antibiotic Nimorazole by Reversible Parahydrogen Exchange in Microtesla Magnetic Fields,"['NMR hyperpolarization', 'SABRE-SHEATH', 'Nimorazole', 'Radiosensitizer', 'Hypoxia imaging', '15N labeling', 'Spin-relayed polarization']"
10.1002_anie.202012469._cleaned.txt,Ultra-Low Loading $\mathbf { P _ { i } } / \mathbf { C e } \mathbf { O } _ { 2 }$ Catalysts,"['atomic layer deposition', 'ceria nanocrystals', 'electron-deficient Pt', 'parahydrogen-induced polarization', 'NMR signal enhancement', 'hydrogenation reactions', 'metal-support interactions']"
10.1002_anie.202014933._cleaned.txt,Singlet-Contrast Magnetic Resonance Imaging,"['Hyperpolarization-enhanced MRI', 'Singlet-state NMR', 'Parahydrogen induced polarization', 'Fumarate metabolism', 'Proton imaging', 'Background signal suppression', 'Metabolic imaging']"
10.1002_anie.202100109_cleaned.txt,Parahydrogen-Induced Polarization of Amino Acids,"['Nuclear Magnetic Resonance', 'Hyperpolarization', 'Amino Acids', 'Parahydrogen', 'PHIP', 'SABRE', 'MRI']"
10.1002_anie.202108939._cleaned.txt,Background-Free Proton NMR Spectroscopy with Radiofrequency Amplification by Stimulated Emission Radiation,"['RASER', 'proton NMR', 'hyperpolarization', 'biomolecules', 'NMR spectroscopy', 'in vivo spectroscopy', 'contrast agents']"
10.1002_anie.202109588._cleaned.txt,Parahydrogen Hyperpolarization Allows Direct NMR Detection of α-Amino Acids in Complex (Bio)mixtures,"['parahydrogen hyperpolarization', 'NMR detection', 'α-amino acids', 'SABRE technique', 'metabolic imaging', 'nhPHIP-NMR chemosensing', 'human urine analysis']"
10.1002_anie.202113827_cleaned.txt,Hydrogenative Cycloisomerization and Sigmatropic Rearrangement Reactions of Cationic Ruthenium Carbenes Formed by Catalytic Alkyne gem-Hydrogenation,"['ruthenium carbenes', 'gem-hydrogenation', 'cycloisomerization', 'sigmatropic rearrangement', 'catalytic hydrogenation', 'electrophilic carbenes', 'PHIP NMR spectroscopy']"
10.1002_anie.202206298_cleaned.txt,A Field-Independent Method for the Rapid Generation of Hyperpolarized [1-13C]Pyruvate in Clean Water Solutions for Biomedical Applications,"['hyperpolarization', 'magnetic resonance', 'para-hydrogen', 'pyruvate', 'biomedical applications', 'NMR', 'MRI']"
10.1002_anie.202213581_cleaned.txt,Anomalously Large Antiphase Signals from Hyperpolarized Orthohydrogen Using a MOF-Based SABRE Catalyst,"['hyperpolarized orthohydrogen', 'SABRE catalyst', 'metal-organic framework', 'antiphase signals', 'parahydrogen-enhanced NMR', 'spin isomers', 'nuclear magnetic resonance']"
10.1002_anie.202215678_cleaned.txt,Parahydrogen-Induced Carbon-13 Radiofrequency Amplification by Stimulated Emission of Radiation,"['Carbon-13 RASER', 'parahydrogen-induced polarization', 'hyperpolarized MRI', 'nuclear magnetic resonance', 'biomolecular carriers', 'magnetic field cycling', 'clinical MRI translation']"
10.1002_anie.202300531_cleaned.txt,"Parahydrogen-Induced Polarization of a Labeled, Cancer-Targeting DNA Aptamer","['hyperpolarization', 'DNA aptamer', 'parahydrogen', 'NMR', 'cancer-targeting', 'AS1411', 'PEGylation']"
10.1002_anie.202309188_cleaned.txt,A Straightforward Method for the Generation of Hyperpolarized Orthohydrogen with a Partially Negative Line,"['orthohydrogen', 'parahydrogen', 'hyperpolarization', 'SABRE', 'Partially Negative Line', 'NMR spectroscopy', 'catalysis']"
10.1002_anie.202402877_cleaned.txt,Parahydrogen-Induced Polarization of $\mathbf { \Delta } ^ { 1 4 } \mathbf { N }$ Nuclei,"['hyperpolarization', 'nuclear magnetic resonance', 'quadrupolar nuclei', 'parahydrogen', 'PH-INEPT', 'tetraalkylammonium salts', 'NMR signal enhancement']"
10.1002_anie.202403144_cleaned.txt,Hyperpolarization of $\mathbf { \Delta } ^ { 1 5 } \mathbf { N }$ -Pyridinium by Using Parahydrogen Enables Access to Reactive Oxygen Sensors and Pilot In Vivo Studies,"['hyperpolarization', 'parahydrogen', 'reactive oxygen species', 'magnetic resonance imaging', 'contrast agents', 'in vivo studies', 'pyridinium']"
10.1002_anie.202407349_cleaned.txt,In vivo Metabolic Sensing of Hyperpolarized [1-13C]Pyruvate in Mice Using a Recyclable Perfluorinated Iridium Signal Amplification by Reversible Exchange Catalyst,"['metabolic MRI', 'hyperpolarization', 'SABRE-SHEATH', 'perfluorinated catalyst', 'in vivo sensing', 'cancer metabolism', 'pyruvate']"
10.1002_anie.202501231_cleaned.txt,Scalable Hyperpolarized MRI Enabled by Ace-SABRE of [1-13C]Pyruvate,"['Hyperpolarized MRI', 'SABRE', 'Ace-SABRE', 'Pyruvate', 'Molecular Imaging', 'Metabolic Tracking', 'Biocompatible Solvent']"
10.1002_anse.202400045_cleaned.txt,Solvent Effects in Hyperpolarization of $^ { 1 5 } { \sf N }$ Nuclei in $[ ^ { 1 5 } \mathsf { N } _ { 3 } ]$ Metronidazole and $[ ^ { 1 5 } \mathsf { N } _ { 3 } ]$ Nimorazole Antibiotics via SABRE-SHEATH,"['SABRE-SHEATH', 'hyperpolarization', 'metronidazole', 'nimorazole', 'NMR spectroscopy', 'MRI contrast agents', 'solvent effects']"
10.1002_asia.201800551._cleaned.txt,Heterogeneous Parahydrogen Pairwise Addition to Cyclopropane,"['hyperpolarized propane', 'parahydrogen-induced polarization', 'pulmonary MRI', 'heterogeneous catalysis', 'cyclopropane hydrogenation', 'contrast agents', 'Rh/TiO2 catalyst']"
10.1002_cbic.202000711_cleaned.txt,Magnetic Resonance Signal Amplification by Reversible Exchange of Selective PyFALGEA Oligopeptide Ligands Towards Epidermal Growth Factor Receptors,"['SABRE', 'hyperpolarization', 'PyFALGEA', 'EGFR', 'NMR', 'oligopeptide', 'IMesBn']"
10.1002_cctc.201200414_cleaned.txt,"Selective Hydrogenation of 1,3-Butadiene and 1-Butyne over a Rh/Chitosan Catalyst Investigated by using Parahydrogen-Induced Polarization","['Rh/chitosan catalyst', 'selective hydrogenation', '1,3-butadiene', '1-butyne', 'parahydrogen-induced polarization', 'NMR spectroscopy', 'heterogeneous catalysis']"
10.1002_cctc.201600270._cleaned.txt,"Semihydrogenation of Propyne over Cerium Oxide Nanorods, Nanocubes, and Nano-Octahedra","['semihydrogenation', 'propyne', 'cerium oxide', 'nanocrystals', 'parahydrogen-induced polarization', 'facet-dependent catalysis', 'DFT calculations']"
10.1002_cctc.201600882_cleaned.txt,"Synthesis and Solid-State NMR Characterization of a Robust, Pyridyl-Based Immobilized Wilkinson’s Type Catalyst with High Catalytic Performance","['Wilkinson’s catalyst', 'immobilization', 'pyridyl linker', 'solid-state NMR', 'hydrogenation', 'PHIP', 'catalytic activity']"
10.1002_cctc.201701653._cleaned.txt,Mechanistic Insight into the Heterogeneous Hydrogenation of Furan Derivatives with the use of Parahydrogen,"['parahydrogen-induced polarization', 'heterogeneous catalysis', 'furan hydrogenation', 'Rh/TiO2 catalyst', 'pairwise hydrogen addition', '2,3-dihydrofuran', '2,5-dihydrofuran']"
10.1002_cctc.201801820_cleaned.txt,Robust In Situ Magnetic Resonance Imaging of Heterogeneous Catalytic Hydrogenation with and without Hyperpolarization,"['Magnetic Resonance Imaging', 'Heterogeneous Catalysis', 'Hydrogenation', 'Parahydrogen Induced Polarization', 'Rhodium Nanoparticles', 'Titanium Dioxide', 'Operando Studies']"
10.1002_chem.200305466_cleaned.txt,Hydrogenation Studies Involving Halobis(phosphine)±Rhodium(i) Dimers,"['homogeneous catalysis', 'hydrogenation', 'NMR spectroscopy', 'parahydrogen', 'rhodium']"
10.1002_chem.200390098_cleaned.txt,Catalytic Hydrogenation by Triruthenium Clusters,"['cluster compounds', 'homogeneous catalysis', 'NMR spectroscopy', 'parahydrogen', 'ruthenium', 'hydrogenation', 'mechanistic study']"
10.1002_chem.201100783_cleaned.txt,Organometallic Complexes in Supported Ionic-Liquid Phase (SILP) Catalysts,"['PHIP NMR spectroscopy', 'SILP catalysts', 'gas-phase hydrogenation', 'rhodium complexes', 'ionic liquids', 'catalyst activity', 'NMR monitoring']"
10.1002_chem.201303020._cleaned.txt,"Synthesis, Solid-State NMR Characterization, and Application for Hydrogenation Reactions of a Novel Wilkinson’s-Type Immobilized Catalyst","['heterogeneous catalysis', 'Wilkinson’s-type catalyst', 'solid-state NMR', 'hydrogenation reactions', 'silica nanoparticles', 'polymer immobilization', 'rhodium catalyst']"
10.1002_chem.201403604._cleaned.txt,High-Resolution 3D Proton MRI of Hyperpolarized Gas Enabled by Parahydrogen and Rh/TiO2 Heterogeneous Catalyst,"['Magnetic Resonance Imaging', 'Hyperpolarized Gas', 'Parahydrogen', 'Rh/TiO2 Catalyst', '3D Imaging', 'Microscale Resolution', 'Proton MRI']"
10.1002_chem.201405063._cleaned.txt,Long-Lived Spin States for Low-Field Hyperpolarized Gas MRI,"['hyperpolarized propane', 'low-field MRI', 'parahydrogen induced polarization', 'long-lived spin states', 'spin-lock induced crossing', 'functional lung imaging', 'ALTADENA']"
10.1002_chem.201406664_cleaned.txt,Single-Atom Gold Catalysis in the Context of Developments in Parahydrogen-Induced Polarization,"['single-atom gold catalyst', 'parahydrogen-induced polarization', 'heterogeneous hydrogenation', 'multi-walled carbon nanotubes', 'NMR signal enhancement', 'pairwise hydrogen addition', '1,3-butadiene hydrogenation']"
10.1002_chem.201500714._cleaned.txt,Computational (DFT) and Experimental (EXAFS) Study of the Interaction of [Ir(IMes)(H)2(L)3] with Substrates and Co-substrates Relevant for SABRE in Dilute Systems,"['SABRE', 'NMR spectroscopy', 'hyperpolarization', 'DFT', 'EXAFS', 'iridium complexes', 'co-substrate approach']"
10.1002_chem.201501552_cleaned.txt,NMR Signal Enhancement by Effective SABRE Labeling of Oligopeptides,"['SABRE', 'oligopeptides', 'hyperpolarization', 'nuclear magnetic resonance', 'pyridine-based label', 'signal amplification', 'biocompatible framework']"
10.1002_chem.201601211._cleaned.txt,A New Ir-NHC Catalyst for Signal Amplification by Reversible Exchange in D2O,"['Ir-NHC catalyst', 'SABRE', 'NMR signal amplification', 'hyperpolarization', 'biocompatible system', 'D2O', 'nicotinamide']"
10.1002_chem.201602393._cleaned.txt,Hyperpolarization of Nitrogen-15 Schiff Bases by Reversible Exchange Catalysis with para-Hydrogen,"['NMR', 'hyperpolarization', 'SABRE', 'Schiff bases', 'para-hydrogen', 'nitrogen-15', 'magnetic resonance imaging']"
10.1002_chem.201603884_cleaned.txt,NMR Hyperpolarization Techniques of Gases,"['NMR hyperpolarization', 'SEOP', 'PHIP', 'hyperpolarized gases', 'MRI applications', 'biomedical imaging', 'materials science']"
10.1002_chem.201603974._cleaned.txt,Production of Pure Aqueous 13C-Hyperpolarized Acetate by Heterogeneous Parahydrogen-Induced Polarization,"['13C-hyperpolarization', 'parahydrogen-induced polarization', 'heterogeneous catalysis', 'aqueous phase hydrogenation', 'Rh/TiO2 catalyst', 'biomedical applications', 'NMR spectroscopy']"
10.1002_chem.201605329_cleaned.txt,$^ { 1 3 } { \mathsf C }$ MR Hyperpolarization of Lactate by Using ParaHydrogen and Metabolic Transformation in Vitro,"['hyperpolarization', 'parahydrogen', 'lactate', 'metabolic transformation', 'NMR spectroscopy', 'PHIP–SAH', 'in vitro studies']"
10.1002_chem.201702716_cleaned.txt,Achieving High Levels of NMR-Hyperpolarization in Aqueous Media With Minimal Catalyst Contamination Using SABRE,"['NMR hyperpolarization', 'SABRE', 'aqueous media', 'phase-transfer catalysis', 'MRI', 'parahydrogen', 'catalyst separation']"
10.1002_chem.201703278_cleaned.txt,Achieving High $oldsymbol { ^ 1 \mathsf { H } }$ Nuclear Hyperpolarization Levels with Long Lifetimes in a Range of Tuberculosis Drug Scaffolds,"['nuclear hyperpolarization', 'tuberculosis drugs', 'SABRE protocol', 'MRI detectability', 'deuteration', 'relaxation times', 'polarization transfer']"
10.1002_chem.201705644_cleaned.txt,Selective Single-Site Pd In Hydrogenation Catalyst for Production of Enhanced Magnetic Resonance Signals using Parahydrogen,"['heterogeneous catalysis', 'single-site catalyst', 'parahydrogen-induced polarization', 'NMR signal enhancement', 'MRI applications', 'Pd-In intermetallic compound', 'pairwise hydrogen addition']"
10.1002_chem.201802622._cleaned.txt,Toward Cleavable Metabolic/pH Sensing “Double Agents” Hyperpolarized by NMR Signal Amplification by Reversible Exchange,"['hyperpolarization', 'SABRE-SHEATH', 'spin-relay', 'metabolic imaging', 'pH sensing', 'NMR', 'acetate', 'imidazole']"
10.1002_chem.201806133._cleaned.txt,Simulating Non-linear Chemical and Physical (CAP) Dynamics of Signal Amplification By Reversible Exchange (SABRE),"['hyperpolarization', 'nuclear spins', 'parahydrogen', 'SABRE', 'CAP dynamics', 'magnetic resonance', 'spin polarization']"
10.1002_chem.201900079._cleaned.txt,Ultrafast Single-Scan 2D NMR Spectroscopic Detection of a PHIP-Hyperpolarized Protease Inhibitor,"['2D NMR spectroscopy', 'PHIP hyperpolarization', 'ultrafast NMR', 'SFTI-1 peptide', 'O-propargyl-l-tyrosine', 'signal enhancement', 'TOCSY spectra']"
10.1002_chem.201901192._cleaned.txt,Hyperpolarizing Concentrated Metronidazole $^ { 1 5 } \mathsf { N O } _ { 2 }$ Group over Six Chemical Bonds with More than $15 \%$ Polarization and a 20 Minute Lifetime,"['NMR hyperpolarization', 'SABRE-SHEATH', 'metronidazole', 'spin-relayed polarization transfer', 'nitrogen-15', 'biomedical imaging', 'hypoxia sensing']"
10.1002_chem.201902724._cleaned.txt,$^ { 1 5 } \mathsf { N }$ Hyperpolarization of Dalfampridine at Natural Abundance for Magnetic Resonance Imaging,"['SABRE', 'hyperpolarization', 'MRI', 'heteronuclei', 'dalfampridine', 'SLIC-SABRE', 'nitrogen-15']"
10.1002_chem.201902878._cleaned.txt,Hyperpolarization of Amino Acids in Water Utilizing Parahydrogen on a Rhodium Nanocatalyst,"['NMR', 'hyperpolarization', 'parahydrogen', 'amino acids', 'biocompatibility', 'nanocatalyst', 'ESOTHERIC']"
